Topic,Count,Name,Representation,Representative_Docs,count,hate_ratio
41,58,41_apes_ape_monkeys_monkey,"['apes', 'ape', 'monkeys', 'monkey', 'planet', 'subhuman', 'black', 'africa', 'butt', 'jungle']","['I think everything should be done to preserve the great apes .', 'Planet of the apes .', 'Actually Monkeys and Apes are more noble creatures and rarely act violent it really is unfare to the Monkeys and Apes to be compared with subhuman Negroids who are by contrast very murderous .']",58,0.8275862068965517
7,183,7_black_negro_blacks_negroes,"['black', 'negro', 'blacks', 'negroes', 'black people', 'ghetto', 'nt', 'slaves', 'feral', 'use']","['So we are upgraded blacks .... ??', 'There are few if any Blacks .', 'More impulsive Negro stripping ...']",183,0.5136612021857924
29,76,29_africa_south_south africa_sa,"['africa', 'south', 'south africa', 'sa', 'africans', 'nigerian', 'nigeria', 'whites', 'white south', 'whites south']","['Miss South Africa is not White .', 'Only in Africa ...', 'In South Africa crime is out of hand and the Whites are bearing the brunt .']",76,0.4342105263157895
46,54,46_asians_asian_white_whites,"['asians', 'asian', 'white', 'whites', 'genetic', 'half', 'race', 'half white', 'white race', 'racial']","[""I do n't hate Asians , I respect Asians ."", 'Asians ?', 'What about Asians ...']",54,0.42592592592592593
6,290,6_jews_jew_jewish_israel,"['jews', 'jew', 'jewish', 'israel', 'jesus', 'bible', 'word', 'god', 'christian', 'zionist']","['The only time Jesus is called a Jew , is when the Jews are mocking him on his trail .', 'Are you a Jew ?', 'Jews !']",290,0.40344827586206894
38,61,38_border_mexico_indians_drug,"['border', 'mexico', 'indians', 'drug', 'native', 'tribe', 'immigration', 'mexicans', 'country', 'patrol']","[""it does n't make sense to have hispanics securing the border. after all were are their loyalties. let 's support wn s who want to become border patrol agents ."", ""what sense does it make to have hispanics securing the border. were do you think their loyalties are. with native americans. so let 's support motivated wn s with a good record in becoming border patrol agents ."", 'It seems all of Northern Mexico is embroiled in open Warfare and our border patrol is having clashes with Drug Gangs shooting their way across the border CWII2008']",61,0.3770491803278688
28,76,28_ukraine_egyptians_muslim_muslims,"['ukraine', 'egyptians', 'muslim', 'muslims', 'russia', 'islam', 'russians', 'putin', 'ukrainian', 'arabs']","['Egyptians are not Arabs , they are Egyptians .', 'Or a Ukraine for that matter .', ""Arseniy Yatsenyuk approved as Ukraine 's new prime minister Arseniy Yatsenyuk , Ukraine 's new prime minister Published February 27 , 2014 / FoxNews.com Source : Arseniy Yatsenyuk approved as Ukraine 's new prime minister | Fox News""]",76,0.3026315789473684
24,81,24_whites_white_white people_minority,"['whites', 'white', 'white people', 'minority', 'nonwhites', 'race', 'people', 'non', 'white race', 'group']","['Whites are the minority in the World .', 'There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .', 'Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?']",81,0.24691358024691357
2,312,2_country_people_government_welfare,"['country', 'people', 'government', 'welfare', 'money', 'media', 'world', 'supporting', 'liberal', 'hope']","['I think we need to take a stand in our homes across the country and around the world .', 'I cannot say that I am happy about supporting welfare mothers , but I can firmly say that I prefer supporting a welfare mother than a murder-clinic .', ""What A Busy Week of Media Work Getting Out the Story of Canada Customs Thought Police and Harassment * CAFE You Tube -- Paul Fromm on censorship in Canada - YouTube * Co-host STORMFRONT Radio ( twice ) * Co-host THE TRUMP PHENOMENON ( twice on Republic Broadcasting * Interviewed on Jamie Kelso 's THE AMERICAN FREEDOM PARTY SHOW * RED ICE RADIO ( discussing the Arthur Topham `` hate law '' trial -- ... RIR-160210.php * The Brandon Martinez Show -- : //youtu.be/wKF8Ekh3Rqk * One hour interview on VOTERS ' ECHO television show -- Voters Echo - Paul Frommâ s take on freedom of speech and the Charter of Rights ! 09 February 2016 - YouTube * And , of course , on my nightly radio show on whiteresistanceradio.com""]",312,0.2403846153846154
8,179,8_ireland_irish_northern_country,"['ireland', 'irish', 'northern', 'country', 'people', 'promote', 'years', 'white', 'limerick', 'immigrant']","['Acts of racism in Ireland show short memories of Irish everywhere Read more : Acts of racism in Ireland show short memories of Irish everywhere | Irish News | IrishCentral Follow us : on Twitter | IrishCentral on Facebook', 'Sorry the worse working class slum is as Irish as the rest of Ireland.I love Ireland and my people all Irish are my people .', 'Irish nackers do that themselves .']",179,0.22346368715083798
32,69,32_london_immigrants_canada_british,"['london', 'immigrants', 'canada', 'british', 'britain', 'uk', 'cathedral', 'birmingham', 'city', 'thousand']","['I never met any here in London .', ""We just recently visited a relative in London .. Lord god , 2011 London is nothing like the 1950 's London I spent holidays in as a wee kid ."", ""London is f' ked .""]",69,0.21739130434782608
47,51,47_canada_canadians_justin_prime,"['canada', 'canadians', 'justin', 'prime', 'wake', 'cities', 'pierre', 'canada just', 'canada youtube', 'sovereign']","['God I hate Canada !', 'Is there any on here old enough to remember white Canada ?', 'Is Canada too big ?']",51,0.21568627450980393
40,58,40_census_whites_town_population,"['census', 'whites', 'town', 'population', 'white', 'minority', 'non', 'non white', 'indian', 'statistics']","['According to the 2005 Census Data from HERE : Non-Hispanic Whites = 66.8 % Hispanics = 14.5 % Blacks = 11.9 % Asians = 4.3 % American Indians = 0.7 % Pacific Islander = 0.1 % Other = 0.3 % Multiracial = 1.4 % Total = 100 %', 'I remembered a really good one : Muenster , TX. - 95.7 % White - Zero negroids Muenster , Texas ( TX 76252 ) profile : population , maps , real estate , averages , homes , statistics , relocation , travel , jobs , hospitals , schools , crime , moving , houses , news This town figured out a name that would keep the blacks from moving in ; Cut and Shoot , Texas : 85.8 % White , Zero Negros .', ""Miami,( I do n't know how Don can stand living down there ) Hispanic - 279,456 ( 70.0 % ) Black alone - 64,993 ( 16.3 % ) White alone - 47,622 ( 11.9 % ) Asian alone - 3,649 ( 0.9 % ) Two or more races - 2,642 ( 0.7 % ) Other race alone - 676 ( 0.2 % ) American Indian alone - 361 ( 0.09 % ) Native Hawaiian and Other Pacific Islander alone - 58 ( 0.01 % ) Read more : Miami , Florida ( FL ) profile : population , maps , real estate , averages , homes , statistics , relocation , travel , jobs , hospitals , schools , crime , moving , houses , news , sex offenders""]",58,0.1896551724137931
33,69,33_holocaust_hitler_germans_youtube,"['holocaust', 'hitler', 'germans', 'youtube', 'nazi', 'einstein', 'mein kampf', 'mein', 'kampf', 'irving']","['Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive', ""Holocaust Handbooks - Educate Yourself - YouTube Holocaust Handbooks is the world 's premiere Revisionist book series ."", ""A `` holocaust '' .""]",69,0.18840579710144928
39,60,39_race_mixing_races_race mixing,"['race', 'mixing', 'races', 'race mixing', 'love race', 'mixed race', 'mixed', 'love', 'want', 'matters']","[""It 's all about race mixing ."", 'It has everything to do with RACE .', 'Why would anyone have that for someone not of their own race ?']",60,0.16666666666666666
27,77,27_white_kids_white kids_children,"['white', 'kids', 'white kids', 'children', 'white women', 'women', 'black', 'families', 'white men', 'brainwashed']","['White kids dressing and acting black and all that * * * * , when I was in school we would beat the * * * * out of those kids .', 'I think that white women who cannot find a suitable white partner for whatever reason should not delay childbearing but should go to a sperm bank and start having white kids .', ""White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...""]",77,0.15584415584415584
37,61,37_teachers_school_schools_white,"['teachers', 'school', 'schools', 'white', 'teach', 'children', 'students', 'white children', 'white students', 'kids']","[""The big black females where shouting `` We want REAL teachers for our chilrens , we do n't want dem blacks you ben sendin us , we want REAL teachers jus like yo got in dem white people 's schools ! ''"", 'With public schools being so integrated and focusing on non white students I really would suggest to any parent to get themselves educated so they can teach their children at home .', 'We want real teachers , white teachers , just like you have in the white schools . ""']",61,0.14754098360655737
17,112,17_animals_dogs_tree_wolves,"['animals', 'dogs', 'tree', 'wolves', 'cats', 'dog', 'animal', 'lions', 'breed', 'chicken']","['No dogs ?', 'Not aware they eat cats & dogs , but they are not us .', 'Same with wolves and dogs , wolves and coyotes .']",112,0.14285714285714285
-1,4410,-1_white_like_nt_just,"['white', 'like', 'nt', 'just', 'people', 'youtube', 'good', 'black', 'know', 'time']","[""YouTube - Mayor of Boston sends welcome to gay/transgender youth event Kids attend prom from ' sexual hell ' You wo n't believe how children as young as 12 years old partied Family advocates are outraged by a prom held at Boston City Hall that was open to children apparently as young as 12 featuring crossdressers , homosexual heavy petting , suspected drug use and a leather-clad doorman who teaches sexual bondage classes ."", ""But that 's just a rumour"", ""well there is a little history for this post so listen up if you dont mind. there was a group in this city called the 311 boys supposedly they were a racist bunch of kids but i never thought they were but through the newspaper and manipulation of sotries they were labled as racist. well my views arnt that well known at school but some do know and ive been labled a `` 311 '' boy. a group of about 10 or so blacks approached me before school. now im not some little guy im a decent build and really have no fear of anyone or anything at this point in my life. well anyway they came up to me and started asking me if i was 311 if i was a racist and all this crap. i denied mostly for my own safety at the time. well i talked to some people who asked me who i thoguht were friends but it turns out they werent. they went right around and told them some of my views and now they came up to me at lunch today and pushed me around a little i stood up to them and got up in their faces but finally a hall monitor came and broke it up. im just wondering whats going to happen in the next few days since im the only WP kid in my school and am standing alone on this issue. just decided to post this bit of information for you wall to read keep safe and keep smart .""]",4410,0.1036281179138322
13,135,13_daughter_girl_ll_movie,"['daughter', 'girl', 'll', 'movie', 'child', 'doll', 'does', 'nt', 'old', 'lesson']","['You make it sound so romantic , more like a bunch of sickos sacrificing a child in pennance for the sins they have commited over the last year so they can start a new year of muder and robbery with a clean conscience .', 'She was 27 years old and leaves behind a 5 year old daughter .', 'If you think this is bad , wait until she gets to middle school and she has to read clap trap like Roll of Thunder Hear My Cry and see the movie .']",135,0.08888888888888889
12,147,12_slavic_armenians_greece_bulgarian,"['slavic', 'armenians', 'greece', 'bulgarian', 'hungarian', 'hungarians', 'river', 'bulgaria', 'croatian', 'russian']","['All Slavic people had same pre-Christian Gods , Svarog , Svetovid , Perun , etc. etc. but old Bulgarian pantheon is totally different .', ""And I thought this was slavic thread let 's continue about slavic countries and heritage , it 's not all about dispute between greece and rep.macedonia , no offence ."", 'No matter that Bulgarians speak similar language as Slavic people , I still don`t find them as Slavic .']",147,0.08163265306122448
35,64,35_family_reach_know_eyes,"['family', 'reach', 'know', 'eyes', 'dont', 'care', 'worth', 'dont force', 'illness', 'pulling']","['They make you want to go out and reach people .', 'They make you want to go out and reach people .', ""MY best mate has this problem and it makes me sad its like he is scared but i cant do anything the more i go on with it the more he gets sick of it.So i think dont force it on them that may turn them away however hard it is to sit there and listen to them say `` i dont care ''""]",64,0.078125
34,67,34_wear_pair_kiss_boots,"['wear', 'pair', 'kiss', 'boots', 'hit', 'shirt', 'nose', 'told', 'niglet', 'shoes']","[""I go to work . . so I got my dirty blue jeans , black socks , old shoes and a tshirt ussually of the heavy metal type . . today it 's slayer , and my trusty winchester cap with a couple thors hammer pins on it. gotta have the beard , chicks dig it ; x i had long hair ' till i cut it for my wedding , didnt wanna look too much like the unibomber when i get dressed up i put on clean pants and a plain tshirt ."", 'I only wore it once to school and they told me either never wear again or be expeled I chose to never * ahem * show them again .', ""i had a pair of levi 's that i wore whenever i did messy work .. they were my ' junk ' jeans. i usually wear anything that fits me. as for Docs i rarely wear them anymore. i wear sneakers now .""]",67,0.07462686567164178
9,169,9_food_candy_eat_beer,"['food', 'candy', 'eat', 'beer', 'drink', 'sugar', 'butter', 'water', 'eating', 'drinking']","['These same people , must eat their stupid pills like they were candy .', 'They eat 3 X the food at each meal than your average American .', 'Do not eat meat with any starchy food and weight will start dropping off bigtime .']",169,0.07100591715976332
30,74,30_hope_stand_future_going,"['hope', 'stand', 'future', 'going', 'let', 'nt stand', 'like great', 'people', 'happen', 'great idea']","[""Let 's just hope this is n't worst case scenario ."", 'With that many groups under the same AO , I wonder how much toe stepping is going to occur ... hope none of our own people get hurt .', ""Let 's hope it stays and the New Year brings in more people like this great man .""]",74,0.06756756756756757
1,356,1_police_crime_black_youtube,"['police', 'crime', 'black', 'youtube', 'charged', 'murder', 'killed', 'man', 'news', 'woman']","['More black-on-white savagery : YouTube - Racist Black gangs are targeting White men for hate crimes in Baltimore YouTube - White Boy Beat Up Because of Slavery YouTube - 32 gangbangers arrested in hate crime roundup for targeting Whites and Latinos YouTube - Violent , racist African immigrants', 'YouTube - Blacks Attack White Man On Subway YouTube - White Girl Beaten On A Bus By Blacks YouTube - Black gang attack-Tottenham High Road N1 .', ""YouTube - Black mugger sentenced to 75 years in prison for hate crimes against elderly women YouTube - Cop 's mace vs black guy 's kung fu YouTube - African American man sprays semen on white woman in supermarket YouTube - White guy beaten nearly to death by Blacks for dating a Black woman , no hate crime there YouTube - Broadcast Yourself .""]",356,0.06741573033707865
10,152,10_sweden_nordic_norway_finland,"['sweden', 'nordic', 'norway', 'finland', 'swedish', 'language', 'french', 'iceland', 'swedes', 'english']","[': // ... ghlight = sweden : // ... ghlight = sweden : // ... ghlight = sweden : // ... ghlight = sweden : // ... ghlight = sweden : // ... ghlight = sweden : // ... ghlight = sweden God save them .....', 'I was wondering if there is any sort of interest among nordic nationalists or any organizations which promote the unification of Norway , Sweden , Denmark and Iceland ?', 'I find that surprising , since Finland after all once conquered Sweden , and ockupied it for several hundred years .']",152,0.05921052631578947
45,54,45_pride_proud_proud white_white,"['pride', 'proud', 'proud white', 'white', 'white pride', 'march', 'month', 'history', 'world wide', 'white male']","['I am a proud white man and want to do my part to make sure there can be proud white men in the future .', 'Welcome, Always be proud of being white .', ""im a 29 year old proud white male who is looking to surround myself with other proud white individuals. im not a radical just a normal guy who is proud of my culture and is tired of being looked down upon from society for being a proud white male. also tired of the `` white boyz '' who are clueless of who they are and where they come from. if anyone wants to know more about please ask""]",54,0.05555555555555555
4,302,4_school_college_schools_teachers,"['school', 'college', 'schools', 'teachers', 'kids', 'home', 'public', 'university', 'high school', 'public school']","['Public school is no place for our children .', 'if i end up with kids i would prefer to home school them. i worry about it though as i am not very intelligent , nor do i have experience with kids or educating them. i guess i couldnt do much worse than the public schools though. i do have a kind of plan as far as social skills. i would put my kids in sports and classes like gymnastics and karate .', ""Another 15 Execellent Schools : Baylor University 's College of Arts and Sciences , Waco , Texas Birmingham-Southern College , Birmingham , Ala. Bridgewater College , Bridgewater , Va. Columbia University , New York , N.Y. College of William and Mary , Williamsburg , Va. Davidson College , Davidson , N.C. Furman University , Greenville , S.C. Millsaps College , Jackson , Miss. Pepperdine University , Malibu , Calif. Rhodes College , Memphis , Tenn. St. Olaf 's College , Northfield , Minn. Samford University , Birmingham , Ala. Shimer College , Waukegan , Ill. Thomas More College of the Liberal Arts , Merrimack , N.H. Wake Forest University , Winston-Salem , N.C.""]",302,0.052980132450331126
31,73,31_troll_ignore_stupid_idiot,"['troll', 'ignore', 'stupid', 'idiot', 'idiotic', 'moron', 'nt', 'consider', 'people', 'trolling']","['I am pretty sure you are a troll .', ""If you really want to change that bad grammar habit , simply practice at home ( or in your work cubicle ) - say out loud `` would have '' , `` should have '' , `` could have '' 100 times a day for each phrase ( yes for a total of 300 times per day ) until it is part of your normal everyday speech ."", ""Until you can explain the meaning of this statement I will consider you to have just outdone every troll that 's been on here .""]",73,0.0410958904109589
19,102,19_idea_goals_work_possible,"['idea', 'goals', 'work', 'possible', 'sounds like', 'sounds', 'accomplished', 'tough', 'like idea', 'good idea']","['Goals??', 'Sounds like a smart idea .', 'But the camellia idea is great .']",102,0.0392156862745098
42,58,42_kids_children_age_child,"['kids', 'children', 'age', 'child', 'baby', 'kid', 'youth', 'younger', 'wife kids', 'ppl']","['They can talk to adults or to kids of any age .', ""I'm 22 years of age and I plan to have 3-4 kids but I do n't feel I can be a father now , I will start have my kids around age 27 ."", 'So do my kids , and they are 4 & 5']",58,0.034482758620689655
0,702,0_looking_pm_meet_live,"['looking', 'pm', 'meet', 'live', 'area', 'im', 'talk', 'email', 'new', 'hi']","['MOPAR88-Again , I live in San Bernardino , send a pm ?', 'Hey Blue email or PM me if you want to chat .', ""hi i have short hair im 5 ' 5 racist as hell im not fat im from mass theres a small group of us out here it 's so hard to new meet people with your believes im just looking to date some one who gets were im coming from are make new friends so if your out there give me a email back 88 heily : explode""]",702,0.029914529914529916
15,124,15_hair_eyes_brown_blue,"['hair', 'eyes', 'brown', 'blue', 'green', 'blue eyes', 'skin', 'color', 'brown eyes', 'green eyes']","['did Hitler not have a policy that only those with blue eyes would have lived ? brown hair was acceptable , only with blue eyes .', 'Brown eyes and Brown hair make you no less white than someone with blonde hair and blue eyes .', 'I myself have extremely pale skin , brown hair and brown eyes but half of my family is blond hair green or blue eyes .']",124,0.024193548387096774
44,56,44_video_videos_watch_watch video,"['video', 'videos', 'watch', 'watch video', 'watched', 'videos like', 'posted', 'watching', 'watched video', 'video posted']","[""I have to walk the dog now but will come back later to watch the video 's that were posted ."", ""Anyone who cannot watch much of this video should AT LEAST watch the last minute and listen to what he 's saying ."", 'I could almost see myself in that video ...']",56,0.017857142857142856
11,152,11_music_band_song_youtube,"['music', 'band', 'song', 'youtube', 'poland', 'songs', 'metal', 'singing', 'listen', 'upper']","['I prefer classical music and marching band works , particularly the kind of score that was written for marching band , not some pop song transcribed to be played by instruments .', 'Truckers Music - YouTube Trucker Song by band Head Hands and Feet ( southern rock I guess ) with lots of beautiful pictures and beautiful women !', 'All there music good .']",152,0.013157894736842105
22,82,22_truth_news_article_lies,"['truth', 'news', 'article', 'lies', 'evidence', 'source', 'claims', 'lie', 'lying', 'quote']","['News', ""Their lies are so thick and many that people do n't see the truth when it is in front of them !"", 'This is not good even though it is the truth .']",82,0.012195121951219513
21,88,21_1488_88_14_16,"['1488', '88', '14', '16', '11', '32', 'feature', 'wpww', 'search', 'ft']","['88 !', '88', '88 !']",88,0.011363636363636364
20,98,20_thread_post_board_mods,"['thread', 'post', 'board', 'mods', 'comment', 'posted', 'forums', 'posts', 'new', 'moderation']","['I hope the mods kill this thread .', 'This thread reminds me of a post from the old board .', 'No more about this in this thread please .']",98,0.01020408163265306
3,304,3_gun_guns_stock_yards,"['gun', 'guns', 'stock', 'yards', 'steel', 'ammo', 'pistol', 'feet', 'martial', 'barrel']","['My point is , that if you have a nice gun that you value , shoot good ammo in it .', 'Great gun though !', ""I have n't been to a gun show in years .""]",304,0.009868421052631578
5,291,5_exactly_true_lol_sad,"['exactly', 'true', 'lol', 'sad', 'hear', 'absolutely', 'good', 'know', 'just', 'nonsense']","['Exactly.', 'Exactly.', 'Exactly.']",291,0.003436426116838488
14,129,14_book_read_books_pdf,"['book', 'read', 'books', 'pdf', 'booklet', 'reading', 'copy', 'download', 'link', 'edition']","['This is my next read .', 'This is my next read .', ""We have read almost all the DR. Seuss book 's , some of them more then once .""]",129,0.0
16,120,16_thanks_thank_posting_good luck,"['thanks', 'thank', 'posting', 'good luck', 'thanks posting', 'luck', 'cheers', 'good', 'welcome', 'thank posting']","['Thanks !', 'Thanks!', 'Thanks .']",120,0.0
18,109,18_site_website_check_page,"['site', 'website', 'check', 'page', 'account', 'facebook', 'link', 'facebook page', 'bookmarked', 'sign']","['Site is back on line .', ""If you 've not had the chance to check it out , you might find this site of some interest ."", 'Also you can check out this website .']",109,0.0
23,82,23_pictures_picture_pics_photos,"['pictures', 'picture', 'pics', 'photos', 'use', 'photo', 'pic', 'click', 'look pictures', 'download']","['Most of these pictures i have never seen before , great to see new pictures of that time .', 'Very great pictures everyone !', 'No pictures yet .']",82,0.0
25,80,25_youtube_youtube youtube_pt_kalispell,"['youtube', 'youtube youtube', 'pt', 'kalispell', 'christmas', 'survival', 'tube', 'new years', 'commercial', 'montana']","['- YouTube', '- YouTube', '[ youtube ] l46t _ nrySg4 [ /youtube ] [ youtube ] ky-zdHMNFNM [ /youtube ]']",80,0.0
26,78,26_stormfront_ple_welcome stormfront_forum,"['stormfront', 'ple', 'welcome stormfront', 'forum', 'devoted', 'solely', 'promoting', 'welcome', 'advanced', 'strategy']","['Welcome to Stormfront .', 'First post on Stormfront .', 'Stormfront .']",78,0.0
36,61,36_period_buster_bump_,"['period', 'buster', 'bump', '', '', '', '', '', '', '']","['Buster', 'Period .', 'Period .']",61,0.0
43,57,43_2508_id_wolf_26155,"['2508', 'id', 'wolf', '26155', 'threadid', '2056', 'pt', 'hope little', 'kelly', 'waterford']","['2508', '2508', '2508']",57,0.0
